,Band,Song,Player,Technique,Difficulty,Score,Spotify danceability,Spotify energy,Spotify loudness,Spotify valence,Guitar difficulty,Guitar score,Guitar librosa 1,Guitar librosa 2,Bass difficulty,Bass score,Drums difficulty,Drums score,Piano difficulty,Piano score
121,Cream,Crossroads,Clapton,['Overdriven Guitar'],Intermediate,4/8,0.87,0.82,0.56,0.29,Intermediate,4/8,0.76,0.34,Advanced,5/8,Beginner,7/8,Advanced,5/8
122,Lamb Of God,Redneck,Mark Morton,['Distortion Guitar'],Intermediate,4/8,0.09,0.85,0.07,0.85,Intermediate,4/8,0.35,0.29,Beginner,4/8,Intermediate,3/8,Beginner,5/8
123,Mountain,Mississippi Queen,Gtr 2,['Distortion Guitar'],Intermediate,3/8,0.19,0.34,0.12,0.4,Intermediate,3/8,0.9,0.77,Advanced,8/8,Beginner,2/8,Advanced,8/8
124,Simon And Garfunkel,Sound Of Silence,Acoustic Guitar (steel),[],Beginner,2/8,0.85,0.29,0.37,0.67,Beginner,2/8,0.84,0.41,Intermediate,3/8,Intermediate,7/8,Intermediate,7/8
125,Ozzy Osbourne,Mr. Crowley,Randy Rhoads,"['Lead (R.I.P. 1982)', 'Distortion Guitar']",Intermediate,5/8,0.93,0.69,0.08,0.75,Intermediate,5/8,0.83,0.24,Beginner,8/8,Intermediate,8/8,Advanced,8/8
126,Metallica,All Nightmare Long,James Hetfield,['Distortion Guitar'],Intermediate,4/8,0.82,0.59,0.88,0.26,Intermediate,4/8,0.26,0.03,Intermediate,8/8,Beginner,5/8,Advanced,5/8
127,Iron Maiden,Hallowed Be Thy Name,Dave Murray,['Distortion Guitar'],Intermediate,3/8,0.86,0.65,0.81,0.18,Intermediate,3/8,0.21,0.15,Beginner,7/8,Beginner,2/8,Beginner,8/8
128,Metallica,Blackened,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,4/8,0.93,0.84,0.6,0.42,Intermediate,4/8,0.88,0.7,Beginner,5/8,Beginner,8/8,Advanced,7/8
129,Limp Bizkit,Behind Blue Eyes (The Who Cover),Wes Borland,"['Guitar', 'Acoustic Guitar (steel)']",Beginner,2/8,0.5,0.54,0.95,0.45,Beginner,2/8,0.49,0.04,Intermediate,7/8,Beginner,5/8,Intermediate,4/8
130,Paul Gilbert,Technical Difficulties,Paul Gilbert,['Distortion Guitar'],Advanced,7/8,0.15,0.04,0.68,0.01,Advanced,7/8,0.94,0.74,Advanced,8/8,Beginner,3/8,Beginner,3/8
131,Gary Moore,Still Got The Blues,Dist. Guitar Solo,['Distortion Guitar'],Intermediate,5/8,0.58,0.5,0.27,0.28,Intermediate,5/8,0.27,0.66,Beginner,7/8,Beginner,7/8,Beginner,3/8
132,Francisco Tarrega,Lágrima,Guitare,['Acoustic Guitar (nylon)'],Beginner,2/8,0.04,0.24,0.81,0.39,Beginner,2/8,0.11,0.06,Intermediate,4/8,Beginner,7/8,Beginner,5/8
133,Spanish Song,Spanish Romance,Track 1,['Acoustic Guitar (nylon)'],Beginner,2/8,0.79,0.29,0.85,0.72,Beginner,2/8,0.57,0.83,Advanced,7/8,Intermediate,7/8,Beginner,6/8
134,Metallica,Fade To Black,James Hetfield,"['Acoustic Guitar', 'Acoustic Guitar (steel)']",Intermediate,3/8,0.21,0.5,0.67,0.6,Intermediate,3/8,0.0,0.35,Beginner,3/8,Intermediate,7/8,Beginner,4/8
135,Sublime,Santeria,Bradley Nowell (Guitar),['Electric Guitar (clean)'],Intermediate,3/8,0.22,0.74,0.81,0.6,Intermediate,3/8,0.15,0.21,Intermediate,6/8,Beginner,3/8,Advanced,2/8
136,Opeth,Ghost Of Perdition,M. Akerfeldt,['Distortion Guitar'],Intermediate,4/8,0.32,0.84,0.48,0.84,Intermediate,4/8,0.59,0.34,Beginner,1/8,Advanced,3/8,Beginner,5/8
137,Led Zeppelin,Rock And Roll,Jimmy Page,"['Lead Guitar', 'Distortion Guitar']",Intermediate,3/8,0.82,0.56,0.65,0.89,Intermediate,3/8,0.92,0.05,Beginner,5/8,Advanced,2/8,Advanced,8/8
138,Jimi Hendrix,All Along The Watchtower,Guitar I,['Overdriven Guitar'],Intermediate,5/8,0.07,0.55,0.11,0.19,Intermediate,5/8,0.23,0.81,Intermediate,6/8,Beginner,4/8,Intermediate,1/8
139,Pearl Jam,Yellow Ledbetter,Mike McCREADY (Clean),['Electric Guitar (clean)'],Intermediate,4/8,0.28,0.7,0.44,0.3,Intermediate,4/8,0.52,0.56,Beginner,3/8,Beginner,1/8,Beginner,8/8
140,Dream Theater,Another Day,John Petrucci (Solos),['Distortion Guitar'],Intermediate,5/8,0.59,0.77,0.66,0.33,Intermediate,5/8,0.99,0.71,Intermediate,5/8,Beginner,4/8,Beginner,8/8
141,Radiohead,Paranoid Android,Guitar 1,"['Acoustic (Thom Yorke)', 'Acoustic Guitar (steel)']",Beginner,2/8,0.98,0.34,0.01,0.73,Beginner,2/8,0.59,0.2,Intermediate,7/8,Beginner,7/8,Advanced,6/8
142,Tenacious D,The Metal,Guitar (John Konesky) [Distorted],['Distortion Guitar'],Intermediate,3/8,0.81,0.33,0.35,0.7,Intermediate,3/8,0.37,0.55,Beginner,3/8,Advanced,2/8,Intermediate,6/8
143,System of a Down,Aerials,Daron Malakian,['Electric Guitar (clean)'],Intermediate,3/8,0.21,0.03,0.3,0.51,Intermediate,3/8,0.4,0.25,Advanced,5/8,Beginner,4/8,Beginner,6/8
144,Stevie Ray Vaughan,Little Wing,Overdub,['Electric Guitar (jazz)'],Intermediate,5/8,0.92,0.84,0.95,0.21,Intermediate,5/8,0.07,1.0,Beginner,2/8,Beginner,6/8,Beginner,3/8
145,Judas Priest,Painkiller,Glenn Tipton,['Distortion Guitar'],Intermediate,5/8,0.41,0.95,0.02,0.46,Intermediate,5/8,0.66,0.77,Advanced,5/8,Intermediate,8/8,Beginner,6/8
146,Metallica,The Day That Never Comes,James Hetfield (Clean Rhythm),['Electric Guitar (clean)'],Beginner,2/8,0.13,0.91,0.7,0.99,Beginner,2/8,0.88,0.18,Beginner,3/8,Intermediate,6/8,Intermediate,2/8
147,Metallica,Fuel,James Hetfield (Guitar),['Distortion Guitar'],Intermediate,3/8,0.52,0.07,0.07,0.93,Intermediate,3/8,0.81,0.33,Beginner,6/8,Beginner,8/8,Advanced,2/8
148,Yngwie Malmsteen,Arpeggios From Hell,Distortion Guitar,[],Advanced,6/8,0.34,0.55,0.84,0.85,Advanced,6/8,0.96,0.14,Advanced,5/8,Beginner,8/8,Advanced,8/8
149,Alice Cooper,Poison,Lead guitar,['Distortion Guitar'],Beginner,2/8,0.23,0.52,0.75,0.04,Beginner,2/8,0.86,0.69,Advanced,5/8,Beginner,8/8,Advanced,6/8
150,Dream Theater,Metropolis Part 1 The Miracle And The Sleeper,John Petrucci,"['Guitar 1', 'Distortion Guitar']",Intermediate,4/8,0.33,0.94,0.48,0.47,Intermediate,4/8,0.34,0.69,Intermediate,7/8,Beginner,7/8,Beginner,6/8
151,Metallica,The Shortest Straw,James Hetfield (Distortion),['Distortion Guitar'],Intermediate,3/8,0.62,0.68,0.99,0.94,Intermediate,3/8,0.94,0.68,Beginner,2/8,Intermediate,1/8,Advanced,7/8
152,Slayer,Seasons In The Abyss,Rhythm Guitar,"['Kerry King', 'Distortion Guitar']",Beginner,2/8,0.25,0.38,0.3,0.81,Beginner,2/8,0.17,0.36,Intermediate,8/8,Intermediate,4/8,Beginner,3/8
153,Journey,Don't Stop Believin',Guitar (Neal Schon),['Distortion Guitar 1'],Intermediate,4/8,0.59,0.53,0.14,0.92,Intermediate,4/8,0.1,0.57,Intermediate,3/8,Intermediate,4/8,Beginner,7/8
154,Slipknot,Duality,Mick Thomson,['Distortion Guitar'],Intermediate,3/8,0.65,0.84,0.84,0.91,Intermediate,3/8,0.86,0.73,Intermediate,1/8,Beginner,4/8,Intermediate,1/8
155,Muse,Plug In Baby,Matt Bellamy (lead),['Distortion Guitar'],Intermediate,3/8,0.96,0.59,0.72,0.07,Intermediate,3/8,0.44,0.01,Advanced,4/8,Beginner,4/8,Intermediate,6/8
156,Scorpions,Still Loving You,Rhythm,['Distortion Guitar'],Intermediate,3/8,0.53,0.32,0.7,0.51,Intermediate,3/8,0.79,0.89,Advanced,7/8,Intermediate,3/8,Intermediate,8/8
157,Guns N' Roses,Knockin' On Heaven's Door,Slash Leads,['Distortion Guitar'],Intermediate,3/8,0.44,0.62,0.24,0.35,Intermediate,3/8,0.22,0.67,Intermediate,3/8,Beginner,2/8,Beginner,5/8
158,Soundgarden,Black Hole Sun,Kim Thayil,"['Guitar 1', 'Electric Guitar (clean)']",Beginner,2/8,0.67,0.64,0.3,0.76,Beginner,2/8,0.04,0.68,Beginner,5/8,Beginner,7/8,Advanced,6/8
159,Buckethead,Soothsayer,Lead Guitar,['Distortion Guitar'],Intermediate,5/8,0.53,0.21,0.94,0.75,Intermediate,5/8,0.86,0.19,Intermediate,8/8,Advanced,5/8,Beginner,4/8
160,Steve Vai,For The Love of God,Steve Vai,"['Lead Guitar', 'Distortion Guitar']",Intermediate,5/8,0.77,0.33,0.88,0.41,Intermediate,5/8,0.58,0.55,Beginner,4/8,Intermediate,7/8,Advanced,5/8
161,Cannibal Corpse,Hammer Smashed Face,Electric Guitar,['Distortion Guitar 1'],Intermediate,4/8,0.87,0.26,0.72,0.73,Intermediate,4/8,0.27,0.32,Advanced,6/8,Advanced,3/8,Beginner,5/8
162,Joan Jett,I Love Rock N' Roll,Guitar 2,['Overdriven Guitar'],Intermediate,3/8,0.54,0.59,0.6,0.29,Intermediate,3/8,0.79,0.82,Advanced,3/8,Intermediate,5/8,Advanced,6/8
163,Sungha Jung,(Your Name) Sparkle,к«иб 1,['Acoustic Guitar (steel)'],Intermediate,5/8,0.27,0.3,0.1,0.48,Intermediate,5/8,0.76,0.57,Intermediate,7/8,Intermediate,6/8,Beginner,1/8
164,Pixies,Where Is My Mind,Joey Santiago (Right Guitar),['Distortion Guitar'],Beginner,2/8,0.74,0.65,0.58,0.7,Beginner,2/8,0.54,0.24,Advanced,1/8,Intermediate,7/8,Intermediate,3/8
165,Dream Theater,Pull Me Under,John Petrucci,"['Guitar 1', 'Distortion Guitar']",Intermediate,4/8,0.45,0.65,0.43,1.0,Intermediate,4/8,0.41,0.64,Beginner,4/8,Advanced,7/8,Beginner,5/8
166,KISS,I Was Made For Loving You,Paul Stanley,['Distortion Guitar'],Intermediate,3/8,0.69,0.53,0.28,0.04,Intermediate,3/8,0.78,0.79,Intermediate,1/8,Beginner,2/8,Intermediate,6/8
167,Metallica,Jump In The Fire,Kirk Hammett,['Distortion Guitar'],Intermediate,4/8,0.79,0.78,0.88,0.91,Intermediate,4/8,0.62,0.95,Beginner,2/8,Advanced,4/8,Advanced,5/8
168,Death,Spirit Crusher,Chuck Schuldiner ,['Distortion Guitar'],Intermediate,3/8,0.07,0.43,0.15,0.74,Intermediate,3/8,0.16,0.02,Beginner,4/8,Beginner,7/8,Intermediate,1/8
169,Mac Demarco,Freaking Out The Neighbourhood,Lead Guitar,['Electric Guitar (clean)'],Beginner,2/8,0.76,0.72,0.45,0.18,Beginner,2/8,0.61,0.63,Beginner,5/8,Intermediate,5/8,Advanced,5/8
170,Cream,Sunshine Of Your Love,Eric Clapton,['Overdriven Guitar'],Intermediate,3/8,0.73,0.62,0.46,0.78,Intermediate,3/8,0.47,0.57,Intermediate,4/8,Beginner,5/8,Intermediate,1/8
171,Van Halen,Unchained,Eddie Van Halen,['Distortion Guitar'],Beginner,2/8,0.67,0.73,0.6,0.43,Beginner,2/8,0.34,0.62,Intermediate,3/8,Intermediate,2/8,Intermediate,6/8
172,Fairy Tail,Main Theme (Fingerstyle),Acoustic Guitar (nylon),[],Beginner,2/8,0.53,0.88,0.98,0.51,Beginner,2/8,0.64,0.83,Advanced,3/8,Intermediate,8/8,Intermediate,4/8
173,Rage Against The Machine,Bombtrack,Tom Morello,"['Rhythm', 'Distortion Guitar']",Intermediate,3/8,0.35,0.88,0.45,0.28,Intermediate,3/8,0.68,0.37,Intermediate,7/8,Intermediate,8/8,Advanced,3/8
174,Jojo's Bizarre Adventure Golden Wind,Giorno's Theme,Guitar 1,['Overdriven Guitar'],Intermediate,3/8,0.46,0.59,0.53,0.86,Intermediate,3/8,0.41,0.22,Intermediate,2/8,Advanced,6/8,Intermediate,1/8
175,Yngwie Malmsteen,Far Beyond The Sun,Yngwie J. Malmsteen,"['Lead Guitar', 'Distortion Guitar']",Advanced,7/8,0.14,0.87,0.1,0.71,Advanced,7/8,0.73,0.95,Advanced,6/8,Advanced,6/8,Advanced,1/8
176,B.B. King,The Thrill Is Gone,B.B. Lead,['Overdriven Guitar'],Intermediate,3/8,0.57,0.04,0.73,0.26,Intermediate,3/8,0.07,0.03,Intermediate,3/8,Intermediate,6/8,Advanced,8/8
177,3 Doors Down,Kryptonite,Guitar 1,['Electric Guitar (clean)'],Intermediate,3/8,0.32,0.94,0.21,0.78,Intermediate,3/8,0.9,0.84,Beginner,6/8,Advanced,7/8,Beginner,2/8
178,Rammstein,Du Hast,Paul Landers,['Distortion Guitar'],Intermediate,3/8,0.63,0.16,0.31,0.81,Intermediate,3/8,0.59,0.11,Beginner,7/8,Beginner,5/8,Beginner,6/8
179,Jim Croce,Time In A Bottle,Track 2,['Acoustic Guitar (steel)'],Beginner,1/8,0.21,0.4,0.03,0.28,Beginner,1/8,0.8,0.18,Intermediate,6/8,Advanced,6/8,Intermediate,4/8
180,Pearl Jam,Even Flow,Mike McCready,"['Lead Guitar 1', 'Distortion Guitar']",Intermediate,3/8,0.99,0.49,0.77,0.13,Intermediate,3/8,0.83,0.81,Advanced,8/8,Beginner,6/8,Intermediate,4/8
181,Pantera,Domination,Dime Lead Guitar,['Distortion Guitar'],Intermediate,5/8,0.83,0.13,0.68,0.72,Intermediate,5/8,0.16,0.03,Intermediate,5/8,Beginner,1/8,Advanced,5/8
182,Sungha Jung,(Hisaishi Joe) Sen To Chihiro Spirited Away : Inochi No Namae,­µ­y 1,['Acoustic Guitar (steel)'],Intermediate,4/8,0.91,0.18,0.32,0.56,Intermediate,4/8,0.33,0.88,Advanced,4/8,Beginner,3/8,Beginner,1/8
183,Green Day,When I Come Around,Billie Joe Armstrong,['Distortion Guitar'],Intermediate,3/8,0.64,0.96,0.93,0.85,Intermediate,3/8,0.74,0.52,Intermediate,7/8,Beginner,4/8,Beginner,5/8
184,Slipknot,Snuff,Mick Thomson (Acoustic),['Acoustic Guitar (steel)'],Beginner,2/8,0.53,0.0,0.17,0.78,Beginner,2/8,0.3,0.72,Beginner,7/8,Beginner,4/8,Beginner,8/8
185,Amon Amarth,The Pursuit Of Vikings,Olavi Mikkonen,['Distortion Guitar'],Intermediate,3/8,0.28,0.41,0.43,0.4,Intermediate,3/8,0.81,0.83,Advanced,3/8,Advanced,3/8,Advanced,1/8
186,Nirvana,About A Girl,Kurt Cobain,['Electric Guitar (clean)'],Beginner,2/8,0.17,0.91,0.9,0.67,Beginner,2/8,0.4,0.64,Advanced,4/8,Beginner,4/8,Beginner,4/8
187,Alice in Chains,Nutshell,Jerry Cantrell,"['Guitar 1', 'Acoustic Guitar (nylon)']",Beginner,2/8,0.88,0.74,0.16,0.81,Beginner,2/8,0.36,0.6,Beginner,1/8,Advanced,5/8,Advanced,3/8
188,The Rolling Stones,(I Can't Get No) Satisfaction,Keith Richards,['Distortion Guitar'],Beginner,2/8,0.3,0.1,0.81,0.53,Beginner,2/8,0.65,0.22,Advanced,7/8,Beginner,4/8,Intermediate,6/8
189,Kansas,Carry On Wayward Son,Rich Williams,"['Rhythm Guitar (Right Spe', 'Distortion Guitar']",Intermediate,3/8,0.57,0.25,0.85,0.02,Intermediate,3/8,0.39,0.55,Intermediate,7/8,Intermediate,3/8,Intermediate,5/8
190,Megadeth,Lucretia,Dave Mustaine,['Distortion Guitar'],Intermediate,4/8,0.07,0.24,0.62,0.51,Intermediate,4/8,0.38,0.2,Advanced,2/8,Advanced,7/8,Advanced,4/8
191,Alice in Chains,Them Bones,Jerry Cantrell (Lead),['Distortion Guitar'],Intermediate,3/8,0.46,0.49,0.3,0.69,Intermediate,3/8,0.81,0.29,Beginner,1/8,Beginner,2/8,Intermediate,5/8
192,Stone Temple Pilots,Plush,Guitar 1,['Distortion Guitar'],Beginner,2/8,0.31,0.38,0.71,0.23,Beginner,2/8,0.02,0.98,Advanced,3/8,Intermediate,5/8,Beginner,1/8
193,Toto,Hold The Line,Steve Lukather,"['Rythm Guitar', 'Distortion Guitar']",Intermediate,3/8,0.97,0.66,0.83,0.5,Intermediate,3/8,0.79,0.21,Intermediate,3/8,Intermediate,5/8,Beginner,7/8
194,Led Zeppelin,Good Times Bad Times,Jimmy Page,['Distortion Guitar 2'],Intermediate,4/8,0.43,0.38,0.8,0.15,Intermediate,4/8,0.39,0.37,Advanced,1/8,Intermediate,8/8,Advanced,6/8
195,Jimi Hendrix,Voodoo Child,Jimi Hendrix,['Distortion Guitar'],Intermediate,5/8,0.37,0.59,0.53,0.12,Intermediate,5/8,0.01,0.19,Advanced,5/8,Intermediate,8/8,Advanced,3/8
196,Dire Straits,Brothers In Arms,Overdriven Guitar,[],Intermediate,3/8,0.32,0.11,0.6,0.04,Intermediate,3/8,0.33,0.16,Intermediate,4/8,Beginner,7/8,Advanced,2/8
197,C418,Sweden,Nylon Guitar,['Acoustic Guitar (nylon)'],Intermediate,3/8,0.73,0.77,0.73,0.03,Intermediate,3/8,0.62,0.56,Beginner,7/8,Intermediate,7/8,Advanced,5/8
198,Ghost B.C.,Square Hammer,Fire,"['Lead', 'Distortion Guitar']",Intermediate,3/8,0.76,0.61,0.02,0.16,Intermediate,3/8,0.98,0.99,Intermediate,8/8,Intermediate,5/8,Beginner,1/8
199,Red Hot Chili Peppers,Soul To Squeeze,John,['Electric Guitar (clean)'],Beginner,2/8,0.53,0.93,0.84,0.27,Beginner,2/8,0.22,0.4,Intermediate,7/8,Intermediate,2/8,Advanced,3/8
200,Avenged Sevenfold,Bat Country,Synyster Gates (Lead),['Distortion Guitar'],Intermediate,4/8,0.67,0.98,0.49,0.41,Intermediate,4/8,0.1,0.93,Advanced,7/8,Beginner,4/8,Advanced,5/8
201,Metallica,For Whom The Bell Tolls,James Hetfield (Rhythm),['Distortion Guitar'],Beginner,2/8,0.37,0.25,0.92,0.87,Beginner,2/8,0.54,0.94,Intermediate,2/8,Beginner,8/8,Advanced,6/8
202,Led Zeppelin,Immigrant Song,Jimmy Page,"['Rhythm Guitar', 'Overdriven Guitar']",Intermediate,3/8,0.15,0.2,0.64,0.98,Intermediate,3/8,0.45,0.52,Intermediate,2/8,Advanced,4/8,Intermediate,6/8
203,KISS,Detroit Rock City,Guitar Right,['Distortion Guitar'],Intermediate,3/8,0.66,0.22,0.12,0.28,Intermediate,3/8,0.41,0.61,Beginner,5/8,Advanced,5/8,Intermediate,5/8
204,Jimi Hendrix,Hey Joe,Guitar 1,['Electric Guitar (jazz)'],Intermediate,5/8,0.47,0.65,0.2,0.68,Intermediate,5/8,0.38,0.27,Intermediate,2/8,Advanced,2/8,Advanced,4/8
205,Motley Crue,Kickstart My Heart,Mick Mars,['Distortion Guitar'],Intermediate,3/8,0.79,0.7,0.54,0.85,Intermediate,3/8,0.32,0.34,Intermediate,3/8,Intermediate,8/8,Beginner,3/8
206,Queen,Another One Bites the Dust,Guitar 3,['Electric Guitar (muted)'],Beginner,2/8,0.08,0.85,0.62,0.05,Beginner,2/8,0.1,0.32,Advanced,3/8,Beginner,2/8,Beginner,7/8
207,Pantera,Walk,Dimebag  Darrell,['Distortion Guitar'],Intermediate,3/8,0.42,0.46,0.8,0.55,Intermediate,3/8,0.08,0.73,Advanced,7/8,Intermediate,4/8,Beginner,1/8
208,Muse,Supermassive Black Hole,Matt Guitare,['Distortion Guitar'],Intermediate,3/8,0.36,0.87,0.39,0.6,Intermediate,3/8,0.52,0.57,Beginner,4/8,Beginner,3/8,Intermediate,6/8
209,Metallica,The Unforgiven,Kirk Hammett (Lead),['Distortion Guitar'],Beginner,2/8,0.72,0.98,0.59,0.29,Beginner,2/8,0.38,0.89,Advanced,1/8,Intermediate,3/8,Advanced,1/8
210,Death,Crystal Mountain,Chuck Schuldiner ,['Distortion Guitar'],Intermediate,4/8,0.6,0.82,0.52,0.64,Intermediate,4/8,0.89,0.05,Advanced,6/8,Beginner,4/8,Advanced,2/8
211,Red Hot Chili Peppers,Otherside,John Frusciante (Main),['Electric Guitar (clean)'],Intermediate,3/8,0.45,0.88,0.12,0.82,Intermediate,3/8,0.43,0.11,Intermediate,6/8,Beginner,1/8,Intermediate,6/8
212,Baby Bash,Suga Suga,Track 1,['Electric Guitar (jazz)'],Intermediate,4/8,0.4,0.32,0.05,0.64,Intermediate,4/8,0.56,0.7,Beginner,3/8,Intermediate,7/8,Intermediate,6/8
213,Slipknot,Sulfur,Mick Thomson (Guitar Lead),['Distortion Guitar'],Intermediate,4/8,0.09,0.45,0.12,0.43,Intermediate,4/8,0.21,0.8,Advanced,2/8,Intermediate,3/8,Advanced,5/8
214,Childish Gambino,Redbone,Electric Guitar (clean),[],Beginner,2/8,0.95,0.04,0.51,0.37,Beginner,2/8,0.11,0.75,Intermediate,4/8,Advanced,1/8,Beginner,4/8
215,Yann Tiersen,Comptine d'un autre éte (acoustic guitar),Acoustic Guitar (nylon),[],Intermediate,3/8,0.27,0.61,0.97,0.45,Intermediate,3/8,0.92,0.32,Advanced,2/8,Intermediate,8/8,Intermediate,8/8
216,Metallica,Creeping Death,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,4/8,0.89,0.5,0.22,0.53,Intermediate,4/8,0.81,0.76,Intermediate,2/8,Beginner,4/8,Beginner,2/8
217,The Beatles,Yesterday,Paul McCartney,['Acoustic Guitar (steel)'],Beginner,2/8,0.18,0.71,0.66,0.83,Beginner,2/8,0.09,0.83,Advanced,5/8,Advanced,1/8,Advanced,4/8
218,Bon Jovi,Wanted Dead Or Alive,Richie Sambora- Acoustic Lead,['Acoustic Guitar (steel)'],Intermediate,3/8,0.91,0.09,0.99,0.98,Intermediate,3/8,0.44,0.1,Intermediate,3/8,Advanced,6/8,Advanced,5/8
219,The Oral Cigarettes,Kyouran Hey Kids!!,Distortion Guitar,[],Intermediate,5/8,0.56,0.45,0.88,0.47,Intermediate,5/8,0.1,0.68,Intermediate,8/8,Advanced,4/8,Beginner,5/8
220,Sabaton,Bismarck,Tommy Johannson,['Distortion Guitar 1'],Intermediate,4/8,0.6,0.1,0.03,0.05,Intermediate,4/8,0.58,0.14,Beginner,2/8,Beginner,5/8,Advanced,1/8
221,Red Hot Chili Peppers,Dark Necessities,Josh,"['Solo', 'Distortion Guitar']",Beginner,2/8,0.02,0.7,0.28,0.69,Beginner,2/8,0.59,0.46,Beginner,5/8,Beginner,3/8,Intermediate,4/8
222,Europe,The Final Countdown,John Norum (Guitar),['Distortion Guitar'],Beginner,2/8,0.27,0.07,0.16,0.3,Beginner,2/8,0.51,0.38,Beginner,6/8,Beginner,3/8,Intermediate,3/8
223,Three Days Grace,I Hate Everything About You,Adam Gontier,['Acoustic Guitar (steel)'],Beginner,2/8,0.65,0.69,0.34,0.68,Beginner,2/8,0.14,0.89,Advanced,7/8,Intermediate,2/8,Advanced,7/8
224,Avenged Sevenfold,The Stage,Synyster Gates,['Distortion Guitar'],Advanced,6/8,0.42,0.59,0.44,0.37,Advanced,6/8,0.4,0.22,Intermediate,6/8,Beginner,5/8,Beginner,8/8
225,ZZ Top,Sharp Dressed Man,Billy F. Gibbons,"['Lead', 'Distortion Guitar']",Intermediate,3/8,0.34,0.61,0.28,0.66,Intermediate,3/8,0.89,0.22,Intermediate,4/8,Advanced,5/8,Intermediate,7/8
226,Led Zeppelin,Ramble On,Guitar 1 (acous.) Jimmy Page,['Acoustic Guitar (steel)'],Beginner,2/8,0.47,0.51,0.79,0.19,Beginner,2/8,0.62,0.03,Advanced,8/8,Intermediate,8/8,Beginner,1/8
227,Gustavo Santaolalla,The Last Of Us - Theme,Track 1,['Acoustic Guitar (nylon)'],Intermediate,4/8,0.74,0.43,0.11,0.99,Intermediate,4/8,0.93,0.33,Advanced,4/8,Intermediate,3/8,Beginner,7/8
228,The Beatles,I Want You (She's So Heavy),Rhythm (Lennon)-Epiphone Casino,['Electric Guitar (clean)'],Intermediate,3/8,0.92,0.17,0.02,0.36,Intermediate,3/8,0.96,0.98,Advanced,4/8,Beginner,6/8,Beginner,6/8
229,Metallica,The Four Horsemen,K. Hammett (Lead),['Distortion Guitar'],Intermediate,4/8,0.7,0.48,0.61,0.3,Intermediate,4/8,0.76,0.39,Intermediate,5/8,Intermediate,1/8,Advanced,8/8
230,Green Day,Basket Case,Billie Joe Armstrong,['Distortion Guitar'],Intermediate,3/8,0.54,0.41,0.13,0.3,Intermediate,3/8,0.48,0.63,Intermediate,8/8,Beginner,8/8,Intermediate,3/8
231,The Beatles,Don't Let Me Down,George Harrison,['Electric Guitar (clean)'],Intermediate,3/8,0.96,0.94,0.84,0.53,Intermediate,3/8,0.93,0.57,Intermediate,8/8,Beginner,7/8,Advanced,8/8
232,Judas Priest,Electric Eye,Glenn Tipton,['Distortion Guitar'],Intermediate,3/8,0.52,0.4,0.97,0.41,Intermediate,3/8,0.19,0.07,Beginner,6/8,Intermediate,7/8,Advanced,6/8
233,Children Of Bodom,Downfall,Gtr III,['Distortion Guitar'],Intermediate,5/8,0.88,0.02,0.89,0.29,Intermediate,5/8,0.75,0.19,Beginner,8/8,Intermediate,3/8,Beginner,3/8
234,Iron Maiden,Phantom Of The Opera,Dave Murray,['Distortion Guitar'],Intermediate,3/8,0.82,0.11,0.83,0.8,Intermediate,3/8,0.94,0.23,Advanced,6/8,Intermediate,6/8,Intermediate,1/8
235,Slipknot,Before I Forget,Mick Thomson,"['Rhythm/Lead', 'Distortion Guitar']",Intermediate,3/8,0.79,0.91,0.98,0.43,Intermediate,3/8,0.03,0.23,Beginner,7/8,Beginner,7/8,Beginner,4/8
236,Three Days Grace,Animal I Have Become,Barry Stock,"['Rhythm', 'Distortion Guitar']",Beginner,1/8,0.92,0.47,0.36,0.32,Beginner,1/8,0.38,0.44,Advanced,8/8,Beginner,3/8,Advanced,6/8
237,Green Day,Holiday,Billie Joe Armstrong,"['Lead', 'Distortion Guitar']",Beginner,2/8,0.32,0.42,0.96,0.98,Beginner,2/8,0.18,0.8,Beginner,5/8,Advanced,2/8,Advanced,4/8
238,Rammstein,Deutschland,Richard Z. Kruspe,['Distortion Guitar'],Intermediate,3/8,0.56,0.74,0.8,0.53,Intermediate,3/8,0.25,0.96,Beginner,8/8,Advanced,4/8,Intermediate,4/8
239,Francisco Tarrega,Recuerdos De La Alhambra,Pista 1,['Acoustic Guitar (nylon)'],Intermediate,5/8,0.61,0.21,0.99,0.42,Intermediate,5/8,0.25,0.76,Advanced,1/8,Beginner,1/8,Advanced,4/8
240,Led Zeppelin,Kashmir,Jimmy Page,"['Rhythm Guitar', 'Overdriven Guitar']",Beginner,2/8,0.73,0.89,0.74,0.15,Beginner,2/8,0.77,0.31,Advanced,2/8,Advanced,8/8,Advanced,3/8
241,The Police,Message In A Bottle,1st Guitar,['Electric Guitar (jazz)'],Intermediate,3/8,0.29,0.41,0.01,0.05,Intermediate,3/8,0.56,0.26,Intermediate,8/8,Advanced,1/8,Intermediate,4/8
242,Daria Semikina,Eric Clapton - Wonderful Tonight (Fingerstyle),Acoustic Guitar (nylon),[],Intermediate,3/8,0.38,0.49,0.61,0.04,Intermediate,3/8,0.09,0.54,Beginner,5/8,Beginner,6/8,Beginner,1/8
